OBČINA,KANDIDAT,SPOL,PREDLAGATELJ,OBLJUBA
MESTNA OBČINA LJUBLJANA,Anže Logar,m,SDS,0
OBČINA ŠKOFJA LOKA,Robert Strah,m,SDS,0
OBČINA GORENJA VAS-POLJANE,Milan Čadež,m,SDS,0
MESTNA OBČINA LJUBLJANA,Mihael Rihar,m,Kongres stranke Naprej Slovenija,0
OBČINA TRZIN,Jože Lukan,m,KONGRES STRANKE NAPREJ SLOVENIJA- NPS,0
OBČINA SEŽANA,Peter Štoka,m,KONVENCIJA OBČINSKE ORGANIZACIJE ZVEZE ZA PRIMORSKO-ZZP,0
OBČINA LITIJA,Tomaž Dernovšek,m,Kristijan Adamlje in skupina volilcev,0
OBČINA KOSTANJEVICA NA KRKI,Andrej Božič,m,Krošl Matjaž in skupina volivcev,0
OBČINA BREZOVICA,Metod Ropret,m,KUŠAR ALEŠ in skupina volivcev,0
MESTNA OBČINA KOPER,Aleš Bržan,m,LAB - LISTA ALEŠA BRŽANA,0
OBČINA MEDVODE,Nejc Smole,m,LADISLAV VIDMAR IN SKUPINA VOLIVCEV,0
